Title,Category,Best.Subject.Area
Nature,Multidisciplinary,Multidisciplinary
Science,History and Philosophy of Science,Arts and Humanities
Proceedings of the National Academy of Sciences of the United States of America,Multidisciplinary,Multidisciplinary
Tsinghua Science and Technology,Multidisciplinary,Multidisciplinary
Journal of King Saud University - Science,Multidisciplinary,Multidisciplinary
Studies in Mycology,Agricultural and Biological Sciences,Agricultural and Biological Sciences
Studies in Mycology,Plant Science,Agricultural and Biological Sciences
Annual Review of Entomology,Ecology,Agricultural and Biological Sciences
Annual Review of Entomology,Evolution,Agricultural and Biological Sciences
Annual Review of Entomology,Behavior and Systematics,Agricultural and Biological Sciences
Annual Review of Entomology,Insect Science,Agricultural and Biological Sciences
Trends in Plant Science,Plant Science,Agricultural and Biological Sciences
Trends in Ecology and Evolution,Ecology,Agricultural and Biological Sciences
Trends in Ecology and Evolution,Evolution,Agricultural and Biological Sciences
Trends in Ecology and Evolution,Behavior and Systematics,Agricultural and Biological Sciences
Comprehensive Reviews in Food Science and Food Safety,Food Science,Agricultural and Biological Sciences
British Journal for the Philosophy of Science,History,Arts and Humanities
British Journal for the Philosophy of Science,History and Philosophy of Science,Arts and Humanities
British Journal for the Philosophy of Science,Philosophy,Arts and Humanities
Nous,Philosophy,Arts and Humanities
Mind,Philosophy,Arts and Humanities
Journal of New Music Research,Music,Arts and Humanities
Journal of New Music Research,Visual Arts and Performing Arts,Arts and Humanities
Journal for the Scientific Study of Religion,Religious Studies,Arts and Humanities
Nature Reviews Molecular Cell Biology,Cell Biology,"Biochemistry, Genetics and Molecular Biology"
Nature Reviews Molecular Cell Biology,Molecular Biology,"Biochemistry, Genetics and Molecular Biology"
Cell,Biochemistry,"Biochemistry, Genetics and Molecular Biology"
Cell,Genetics and Molecular Biology,"Biochemistry, Genetics and Molecular Biology"
Nature Genetics,Genetics,"Biochemistry, Genetics and Molecular Biology"
Nature Methods,Biochemistry,"Biochemistry, Genetics and Molecular Biology"
Nature Methods,Biotechnology,"Biochemistry, Genetics and Molecular Biology"
Nature Methods,Cell Biology,"Biochemistry, Genetics and Molecular Biology"
Nature Methods,Molecular Biology,"Biochemistry, Genetics and Molecular Biology"
Annual Review of Biochemistry,Biochemistry,"Biochemistry, Genetics and Molecular Biology"
European Business Review,Business and International Management,"Business, Management and Accounting"
European Business Review,Business,"Business, Management and Accounting"
European Business Review,Management and Accounting,"Business, Management and Accounting"
Journal of Marketing,Business and International Management,"Business, Management and Accounting"
Journal of Marketing,Marketing,"Business, Management and Accounting"
California Management Review,Strategy and Management,"Business, Management and Accounting"
Academy of Management Review,Business,"Business, Management and Accounting"
Academy of Management Review,Management and Accounting,"Business, Management and Accounting"
Academy of Management Review,Management of Technology and Innovation,"Business, Management and Accounting"
Academy of Management Review,Strategy and Management,"Business, Management and Accounting"
International Journal of Hospitality Management,Strategy and Management,"Business, Management and Accounting"
International Journal of Hospitality Management,Tourism,"Business, Management and Accounting"
International Journal of Hospitality Management,Leisure and Hospitality Management,"Business, Management and Accounting"
Reviews in Chemical Engineering,Chemical Engineering,Chemical Engineering
Journal of Industrial and Engineering Chemistry,Chemical Engineering,Chemical Engineering
Powder Technology,Chemical Engineering,Chemical Engineering
Applied Catalysis A: General,Process Chemistry and Technology,Chemical Engineering
Dyes and Pigments,Chemical Engineering,Chemical Engineering
Chemical Reviews,Chemistry,Chemistry
Chemical Society Reviews,Chemistry,Chemistry
TrAC - Trends in Analytical Chemistry,Analytical Chemistry,Chemistry
TrAC - Trends in Analytical Chemistry,Spectroscopy,Chemistry
Annual Review of Physical Chemistry,Physical and Theoretical Chemistry,Chemistry
Analytical Chemistry,Analytical Chemistry,Chemistry
Information Fusion,Hardware and Architecture,Computer Science
Information Fusion,Information Systems,Computer Science
Information Fusion,Signal Processing,Computer Science
Information Fusion,Software,Computer Science
International Journal of Computer Vision,Artificial Intelligence,Computer Science
International Journal of Computer Vision,Computer Vision and Pattern Recognition,Computer Science
International Journal of Computer Vision,Software,Computer Science
Future Generation Computer Systems,Computer Networks and Communications,Computer Science
Future Generation Computer Systems,Hardware and Architecture,Computer Science
Future Generation Computer Systems,Software,Computer Science
IEEE Network,Computer Networks and Communications,Computer Science
IEEE Network,Hardware and Architecture,Computer Science
IEEE Network,Information Systems,Computer Science
IEEE Network,Software,Computer Science
Journal of Network and Computer Applications,Computer Networks and Communications,Computer Science
Journal of Network and Computer Applications,Computer Science Applications,Computer Science
Journal of Network and Computer Applications,Hardware and Architecture,Computer Science
Annals of Operations Research,Management Science and Operations Research,Decision Sciences
Data and Knowledge Engineering,Information Systems and Management,Decision Sciences
Asia-Pacific Journal of Operational Research,Management Science and Operations Research,Decision Sciences
Reviews of Geophysics,Geophysics,Earth and Planetary Sciences
Earth-Science Reviews,Earth and Planetary Sciences,Earth and Planetary Sciences
Surveys in Geophysics,Geochemistry and Petrology,Earth and Planetary Sciences
Surveys in Geophysics,Geophysics,Earth and Planetary Sciences
International Journal of Rock Mechanics and Minings Sciences,Geotechnical Engineering and Engineering Geology,Earth and Planetary Sciences
Quarterly Journal of the Royal Meteorological Society,Atmospheric Science,Earth and Planetary Sciences
Quarterly Journal of Economics,Economics and Econometrics,"Economics, Econometrics and Finance"
Journal of Economic Literature,Economics and Econometrics,"Economics, Econometrics and Finance"
American Economic Review,Economics and Econometrics,"Economics, Econometrics and Finance"
Journal of Economic Perspectives,Economics and Econometrics,"Economics, Econometrics and Finance"
Journal of Political Economy,Economics and Econometrics,"Economics, Econometrics and Finance"
Renewable and Sustainable Energy Reviews,Renewable Energy,Energy
Renewable and Sustainable Energy Reviews,Sustainability and the Environment,Energy
Energy Conversion and Management,Energy Engineering and Power Technology,Energy
Energy Conversion and Management,Fuel Technology,Energy
Energy Conversion and Management,Nuclear Energy and Engineering,Energy
Energy Conversion and Management,Renewable Energy,Energy
Energy Conversion and Management,Sustainability and the Environment,Energy
Renewable Energy,Renewable Energy,Energy
Renewable Energy,Sustainability and the Environment,Energy
Wind Energy,Renewable Energy,Energy
Wind Energy,Sustainability and the Environment,Energy
International Journal of Energy Research,Nuclear Energy and Engineering,Energy
Proceedings of the IEEE,Computer Science,Computer Science
Progress in Aerospace Sciences,Aerospace Engineering,Engineering
Progress in Aerospace Sciences,Mechanical Engineering,Engineering
Progress in Aerospace Sciences,Mechanics of Materials,Engineering
Applied Mechanics Reviews,Mechanical Engineering,Engineering
International Journal of Machine Tools and Manufacture,Industrial and Manufacturing Engineering,Engineering
International Journal of Machine Tools and Manufacture,Mechanical Engineering,Engineering
IEEE Transactions on Industrial Electronics,Computer Science Applications,Computer Science
Environmental Chemistry Letters,Environmental Chemistry,Environmental Science
Critical Reviews in Environmental Science and Technology,Environmental Engineering,Environmental Science
Critical Reviews in Environmental Science and Technology,Pollution,Environmental Science
Critical Reviews in Environmental Science and Technology,Waste Management and Disposal,Environmental Science
Critical Reviews in Environmental Science and Technology,Water Science and Technology,Environmental Science
Environment international,Environmental Science,Environmental Science
Journal of Hazardous Materials,Environmental Chemistry,Environmental Science
Journal of Hazardous Materials,Environmental Engineering,Environmental Science
Journal of Hazardous Materials,Health,Environmental Science
