Title,Category
Nature,Multidisciplinary
Science,History and Philosophy of Science
Proceedings of the National Academy of Sciences of the United States of America,Multidisciplinary
Tsinghua Science and Technology,Multidisciplinary
Journal of King Saud University - Science,Multidisciplinary
Studies in Mycology,Agricultural and Biological Sciences
Studies in Mycology,Plant Science
Annual Review of Entomology,Ecology
Annual Review of Entomology,Evolution
Annual Review of Entomology,Behavior and Systematics
Annual Review of Entomology,Insect Science
Trends in Plant Science,Plant Science
Trends in Ecology and Evolution,Ecology
Trends in Ecology and Evolution,Evolution
Trends in Ecology and Evolution,Behavior and Systematics
Comprehensive Reviews in Food Science and Food Safety,Food Science
British Journal for the Philosophy of Science,History
British Journal for the Philosophy of Science,History and Philosophy of Science
British Journal for the Philosophy of Science,Philosophy
Nous,Philosophy
Mind,Philosophy
Journal of New Music Research,Music
Journal of New Music Research,Visual Arts and Performing Arts
Journal for the Scientific Study of Religion,Religious Studies
Nature Reviews Molecular Cell Biology,Cell Biology
Nature Reviews Molecular Cell Biology,Molecular Biology
Cell,Biochemistry
Cell,Genetics and Molecular Biology
Nature Genetics,Genetics
Nature Methods,Biochemistry
Nature Methods,Biotechnology
Nature Methods,Cell Biology
Nature Methods,Molecular Biology
Annual Review of Biochemistry,Biochemistry
European Business Review,Business and International Management
European Business Review,Business
European Business Review,Management and Accounting
Journal of Marketing,Business and International Management
Journal of Marketing,Marketing
California Management Review,Strategy and Management
Academy of Management Review,Business
Academy of Management Review,Management and Accounting
Academy of Management Review,Management of Technology and Innovation
Academy of Management Review,Strategy and Management
International Journal of Hospitality Management,Strategy and Management
International Journal of Hospitality Management,Tourism
International Journal of Hospitality Management,Leisure and Hospitality Management
Reviews in Chemical Engineering,Chemical Engineering
Journal of Industrial and Engineering Chemistry,Chemical Engineering
Powder Technology,Chemical Engineering
Applied Catalysis A: General,Process Chemistry and Technology
Dyes and Pigments,Chemical Engineering
Chemical Reviews,Chemistry
Chemical Society Reviews,Chemistry
TrAC - Trends in Analytical Chemistry,Analytical Chemistry
TrAC - Trends in Analytical Chemistry,Spectroscopy
Annual Review of Physical Chemistry,Physical and Theoretical Chemistry
Analytical Chemistry,Analytical Chemistry
Information Fusion,Hardware and Architecture
Information Fusion,Information Systems
Information Fusion,Signal Processing
Information Fusion,Software
International Journal of Computer Vision,Artificial Intelligence
International Journal of Computer Vision,Computer Vision and Pattern Recognition
International Journal of Computer Vision,Software
Future Generation Computer Systems,Computer Networks and Communications
Future Generation Computer Systems,Hardware and Architecture
Future Generation Computer Systems,Software
IEEE Network,Computer Networks and Communications
IEEE Network,Hardware and Architecture
IEEE Network,Information Systems
IEEE Network,Software
Journal of Network and Computer Applications,Computer Networks and Communications
Journal of Network and Computer Applications,Computer Science Applications
Journal of Network and Computer Applications,Hardware and Architecture
Annals of Operations Research,Management Science and Operations Research
Data and Knowledge Engineering,Information Systems and Management
Asia-Pacific Journal of Operational Research,Management Science and Operations Research
Reviews of Geophysics,Geophysics
Earth-Science Reviews,Earth and Planetary Sciences
Surveys in Geophysics,Geochemistry and Petrology
Surveys in Geophysics,Geophysics
International Journal of Rock Mechanics and Minings Sciences,Geotechnical Engineering and Engineering Geology
Quarterly Journal of the Royal Meteorological Society,Atmospheric Science
Quarterly Journal of Economics,Economics and Econometrics
Journal of Economic Literature,Economics and Econometrics
American Economic Review,Economics and Econometrics
Journal of Economic Perspectives,Economics and Econometrics
Journal of Political Economy,Economics and Econometrics
Renewable and Sustainable Energy Reviews,Renewable Energy
Renewable and Sustainable Energy Reviews,Sustainability and the Environment
Energy Conversion and Management,Energy Engineering and Power Technology
Energy Conversion and Management,Fuel Technology
Energy Conversion and Management,Nuclear Energy and Engineering
Energy Conversion and Management,Renewable Energy
Energy Conversion and Management,Sustainability and the Environment
Renewable Energy,Renewable Energy
Renewable Energy,Sustainability and the Environment
Wind Energy,Renewable Energy
Wind Energy,Sustainability and the Environment
International Journal of Energy Research,Nuclear Energy and Engineering
Proceedings of the IEEE,Computer Science
Progress in Aerospace Sciences,Aerospace Engineering
Progress in Aerospace Sciences,Mechanical Engineering
Progress in Aerospace Sciences,Mechanics of Materials
Applied Mechanics Reviews,Mechanical Engineering
International Journal of Machine Tools and Manufacture,Industrial and Manufacturing Engineering
International Journal of Machine Tools and Manufacture,Mechanical Engineering
IEEE Transactions on Industrial Electronics,Computer Science Applications
Environmental Chemistry Letters,Environmental Chemistry
Critical Reviews in Environmental Science and Technology,Environmental Engineering
Critical Reviews in Environmental Science and Technology,Pollution
Critical Reviews in Environmental Science and Technology,Waste Management and Disposal
Critical Reviews in Environmental Science and Technology,Water Science and Technology
Environment international,Environmental Science
Journal of Hazardous Materials,Environmental Chemistry
Journal of Hazardous Materials,Environmental Engineering
Journal of Hazardous Materials,Health
Journal of Hazardous Materials,Toxicology and Mutagenesis
